INFO 2025-11-20 16:22:37,402 django.utils.autoreload autoreload Watching for file changes with StatReloader
INFO 2025-11-20 16:26:48,910 django.utils.autoreload autoreload Watching for file changes with StatReloader
INFO 2025-11-20 16:26:56,313 project views User admin viewed cart. Total items: 1, Total price: 700000.0
INFO 2025-11-20 16:26:56,401 django.server basehttp "GET /cart/cart-detail/ HTTP/1.1" 200 14125
WARNING 2025-11-20 16:26:56,484 django.request log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-11-20 16:26:56,485 django.server basehttp "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4237
INFO 2025-11-20 16:27:09,969 project views User admin decreased quantity of CartItem 10 to 1
INFO 2025-11-20 16:27:10,137 django.server basehttp "POST /cart/qty-inc-dec/ HTTP/1.1" 200 112
INFO 2025-11-20 16:27:18,570 project views User admin increased quantity of CartItem 10 to 2
INFO 2025-11-20 16:27:18,646 django.server basehttp "POST /cart/qty-inc-dec/ HTTP/1.1" 200 112
INFO 2025-11-20 16:27:39,638 project views User admin decreased quantity of CartItem 10 to 1
INFO 2025-11-20 16:27:39,786 django.server basehttp "POST /cart/qty-inc-dec/ HTTP/1.1" 200 112
INFO 2025-11-20 16:27:45,006 project views User admin increased quantity of CartItem 10 to 2
INFO 2025-11-20 16:27:45,154 django.server basehttp "POST /cart/qty-inc-dec/ HTTP/1.1" 200 112
INFO 2025-11-20 16:27:48,116 project views User admin removed CartItem 10 from cart
INFO 2025-11-20 16:27:48,254 django.server basehttp "POST /cart/cart-remove-item/ HTTP/1.1" 200 120
INFO 2025-11-20 16:27:52,687 project views User admin viewed cart. Total items: 0, Total price: 0.0
INFO 2025-11-20 16:27:52,699 django.server basehttp "GET /cart/cart-detail/ HTTP/1.1" 200 11466
INFO 2025-11-20 16:31:05,467 project views User admin viewed cart. Total items: 0, Total price: 0.0
INFO 2025-11-20 16:31:05,521 django.server basehttp "GET /cart/cart-detail/ HTTP/1.1" 200 11464
INFO 2025-11-20 16:31:08,513 project views User admin visited Home page
INFO 2025-11-20 16:31:08,648 django.server basehttp "GET / HTTP/1.1" 200 27222
INFO 2025-11-20 16:31:11,037 project views User admin viewed product 7 - NEW STYLISH EXPORT OUALITY TRANDING JEANS PANT FOR MEN _MEN"S JEANS
INFO 2025-11-20 16:31:11,058 django.server basehttp "GET /single-product/new-stylish-export-ouality-tranding-jeans-pant-for-men-_mens-jeans/7/ HTTP/1.1" 200 12600
INFO 2025-11-20 16:31:12,347 project views User admin viewed cart. Total items: 0, Total price: 0.0
INFO 2025-11-20 16:31:12,354 django.server basehttp "GET /cart/cart-detail/ HTTP/1.1" 200 11464
INFO 2025-11-20 16:31:19,565 project views User admin viewed product 7 - NEW STYLISH EXPORT OUALITY TRANDING JEANS PANT FOR MEN _MEN"S JEANS
INFO 2025-11-20 16:31:19,573 django.server basehttp "GET /single-product/new-stylish-export-ouality-tranding-jeans-pant-for-men-_mens-jeans/7/ HTTP/1.1" 200 12600
